"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Mammals","9102240016","Asia","Europe",,
"Mammals","9111010186","Australia","Australasia",,
"Mammals","31219","Australia","Australasia",,
"Mammals","48049","Australia","Australasia",,
"Mammals","31165","Australia","Australasia",,
"Mammals","48047","Australia","Australasia",,
"Mammals","48048","Australia","Australasia",,
"Mammals","48050","Australia","Australasia",,
"Mammals","9111010116","Australia","Australasia",,
"Mammals","9111010117","Australia","Australasia",,
"Mammals","31217","Australia","Australasia",,
"Mammals","31218","Australia","Australasia",,
"Mammals","48046","Australia","Australasia",,
"Mammals","9111010185","Australia","Australasia",,
"Mammals","53702","Australia","Australasia",,
"Mammals","67051","Australia","Australasia",,
"Mammals","46991","Australia","Australasia",,
"Mammals","46990","Australia","Australasia",,
"Mammals","1011160010","Australia","Australasia",,
"Mammals","9012190013","Australia","Australasia",,
"Mammals","0102010012","Australia","Australasia",,
"Mammals","46993","Australia","Australasia",,
"Mammals","9012190009","Australia","Australasia",,
"Mammals","46988","Australia","Australasia",,
"Mammals","46989","Australia","Australasia",,
"Mammals","9102240020","Australia","Australasia",,
"Mammals","9110010026","Australia","Australasia",,
"Mammals","9812300004","Australia","Australasia",,
"Mammals","1012230001","Australia","Australasia",,
"Mammals","7106010003","Australia","Australasia",,
"Mammals","13148","Australia","Australasia",,
"Mammals","0102010014","Australia","Australasia",,
"Mammals","0011290010","Australia","Australasia",,
"Mammals","0012090009","Australia","Australasia",,
"Mammals","7106010006","Australia","Australasia",,
"Mammals","0011290011","Australia","Australasia",,
"Mammals","0102010015","Australia","Australasia",,
"Mammals","46987","Australia","Australasia",,
"Mammals","46992","Australia","Australasia",,
"Mammals","8606010001","Australia","Australasia",,
"Mammals","7906010008","Australia","Australasia",,
"Mammals","0102010011","Australia","Australasia",,
"Mammals","9110010027","Australia","Australasia",,
"Mammals","0102010017","Australia","Australasia",,
"Mammals","34141","Australia","Australasia",,
"Mammals","48058","Australia","Australasia",,
"Mammals","70614","Australia","Australasia",,
"Mammals","58396","Australia","Australasia",,
"Mammals","48051","Australia","Australasia",,
"Mammals","48052","Australia","Australasia",,
"Mammals","46008","Australia","Australasia",,
"Mammals","46009","Australia","Australasia",,
"Mammals","48056","Australia","Australasia",,
"Mammals","48055","Australia","Australasia",,
"Mammals","77791","Australia","Australasia",,
"Mammals","57320","Australia","Australasia",,
"Mammals","57757","Australia","Australasia",,
"Mammals","78355","Australia","Australasia",,
"Mammals","48053","Australia","Australasia",,
"Mammals","48054","Australia","Australasia",,
"Mammals","46012","Australia","Australasia",,
"Mammals","46010","Australia","Australasia",,
"Mammals","48045","Australia","Australasia",,
"Mammals","90712","Australia","Australasia",,
"Mammals","0011280024","Australia","Australasia",,
"Mammals","90714","Australia","Australasia",,
"Mammals","90713","Australia","Australasia",,
"Mammals","58420","Australia","Australasia",,
"Mammals","58426","Australia","Australasia",,
"Mammals","58418","Australia","Australasia",,
"Mammals","58417","Australia","Australasia",,
"Mammals","58419","Australia","Australasia",,
"Mammals","58416","Australia","Australasia",,
"Mammals","58415","Australia","Australasia",,
"Mammals","58397","Australia","Australasia",,
"Mammals","58414","Australia","Australasia",,
"Mammals","58413","Australia","Australasia",,
"Mammals","58412","Australia","Australasia",,
"Mammals","9111010194","Australia","Australasia",,
"Mammals","58411","Australia","Australasia",,
"Mammals","58400","Australia","Australasia",,
"Mammals","58406","Australia","Australasia",,
"Mammals","58405","Australia","Australasia",,
"Mammals","58398","Australia","Australasia",,
"Mammals","58409","Australia","Australasia",,
"Mammals","58408","Australia","Australasia",,
"Mammals","58399","Australia","Australasia",,
"Mammals","58407","Australia","Australasia",,
"Mammals","58410","Australia","Australasia",,
"Mammals","9111010019","Australia","Australasia",,
"Mammals","58427","Australia","Australasia",,
"Mammals","0790901004","Australia","Australasia",,
"Mammals","78133","Australia","Australasia",,
"Mammals","46004","Australia","Australasia",,
"Mammals","9111010182","Australia","Australasia",,
"Mammals","45680","Australia","Australasia",,
"Mammals","45681","Australia","Australasia",,
"Mammals","45999","Australia","Australasia",,
"Mammals","45689","Australia","Australasia",,
"Mammals","45997","Australia","Australasia",,
"Mammals","78136","Australia","Australasia",,
"Mammals","46005","Australia","Australasia",,
"Mammals","78135","Australia","Australasia",,
"Mammals","46003","Australia","Australasia",,
"Mammals","45684","Australia","Australasia",,
"Mammals","45998","Australia","Australasia",,
"Mammals","9111010184","Australia","Australasia",,
"Mammals","9111010188","Australia","Australasia",,
"Mammals","9111010180","Australia","Australasia",,
"Mammals","9111010115","Australia","Australasia",,
"Mammals","46001","Australia","Australasia",,
"Mammals","46011","Australia","Australasia",,
"Mammals","102789","Australia","Australasia",,
"Mammals","58425","Australia","Australasia",,
"Mammals","45687","Australia","Australasia",,
"Mammals","45686","Australia","Australasia",,
"Mammals","45685","Australia","Australasia",,
"Mammals","45683","Australia","Australasia",,
"Mammals","78134","Australia","Australasia",,
"Mammals","45682","Australia","Australasia",,
"Mammals","45688","Australia","Australasia",,
"Mammals","46000","Australia","Australasia",,
"Mammals","9111010191","Australia","Australasia",,
"Mammals","9111010192","Australia","Australasia",,
"Mammals","46006","Australia","Australasia",,
"Mammals","46007","Australia","Australasia",,
"Mammals","78356","Australia","Australasia",,
"Mammals","78264","Australia","Australasia",,
"Mammals","78739","Australia","Australasia",,
"Mammals","9111010190","Australia","Australasia",,
"Mammals","46002","Australia","Australasia",,
"Mammals","7106010005","Australia","Australasia",,
"Mammals","7909010004","Australia","Australasia",,
"Mammals","7106010001","Australia","Australasia",,
"Mammals","9111010183","Australia","Australasia",,
"Mammals","58424","Australia","Australasia",,
"Mammals","58423","Australia","Australasia",,
"Mammals","58404","Australia","Australasia",,
"Mammals","58422","Australia","Australasia",,
"Mammals","58421","Australia","Australasia",,
"Mammals","94160","Australia","Australasia",,
"Mammals","94161","Australia","Australasia",,
"Mammals","94163","Australia","Australasia",,
"Mammals","94162","Australia","Australasia",,
"Mammals","46936","AUSTRALIA","Australasia",,
"Mammals","46935","AUSTRALIA","Australasia",,
"Mammals","0101300082","AUSTRALIA","Australasia",,
"Mammals","0102010007","AUSTRALIA","Australasia",,
"Mammals","0102010006","AUSTRALIA","Australasia",,
"Mammals","3410030002","AUSTRALIA","Australasia",,
"Mammals","70617","Australia","Australasia",,
"Mammals","70612","Australia","Australasia",,
"Mammals","70613","Australia","Australasia",,
"Mammals","53698","Australia","Australasia",,
"Mammals","9111010187","Australia","Australasia",,
"Mammals","9111010179","Australia","Australasia",,
"Mammals","58401","Australia","Australasia",,
"Mammals","58403","Australia","Australasia",,
"Mammals","102788","Australia","Australasia",,
"Mammals","58402","Australia","Australasia",,
"Mammals","102785","Australia","Australasia",,
"Mammals","51138","Australia","Australasia",,
"Mammals","0011280019","Europe","North America",,
"Mammals","91239","North America","Oceania",,"North Pacific Ocean"
"Mammals","79793","North America","Oceania",,"North Pacific Ocean"
"Mammals","79794","North America","Oceania",,"North Pacific Ocean"
"Mammals","16903","Unknown",,,
"Mammals","3211150002","Unknown",,,
"Mammals","3211170020","Unknown",,,
"Mammals","111238","Unknown",,,
"Mammals","20175","Unknown",,,
"Mammals","25284","Unknown",,,
"Mammals","15544","Unknown",,,
"Mammals","3612020003","Unknown",,,
"Mammals","16420","Unknown",,,
"Mammals","111245","Unknown",,,
"Mammals","94050","Unknown",,,
"Mammals","94054","Unknown",,,
"Mammals","94055","Unknown",,,
"Mammals","94057","Unknown",,,
"Mammals","94048","Unknown",,,
"Mammals","8606010008","Unknown",,,
"Mammals","91954","Unknown",,,
"Mammals","94056","Unknown",,,
"Mammals","16889","Unknown",,,
"Mammals","2509100001","Unknown",,,
"Mammals","17591","Unknown",,,
"Mammals","15559","Unknown",,,
"Mammals","2802180001","Unknown",,,
"Mammals","94047","Unknown",,,
"Mammals","25287","Unknown",,,
"Mammals","19514","Unknown",,,
"Mammals","7506010003","Unknown",,,
"Mammals","2705020201","Unknown",,,
"Mammals","0011210012","Unknown",,,
"Mammals","21998","Unknown",,,
"Mammals","0102210001","Unknown",,,
"Mammals","1301150002","Unknown",,,
"Mammals","9110010025","Unknown",,,
"Mammals","2705020230","Unknown",,,
"Mammals","9012190007","Unknown",,,
"Mammals","3405090038","Unknown",,,
"Mammals","1604240001","Unknown",,,
"Mammals","2412310002","Unknown",,,
"Mammals","2412310001","Unknown",,,
"Mammals","83106","Unknown",,,
"Mammals","27569","Unknown",,,
"Mammals","3405090039","Unknown",,,
"Mammals","67619","Unknown",,,
"Mammals","3211080030","Unknown",,,
"Mammals","15553","Unknown",,,
"Mammals","2705020229","Unknown",,,
"Mammals","3205170002","Unknown",,,
"Mammals","94053","Unknown",,,
"Mammals","2703140001","Unknown",,,
"Mammals","2210160001","Unknown",,,
"Mammals","15546","Unknown",,,
"Mammals","3501230001","Unknown",,,
"Mammals","2705020305","Unknown",,,
"Mammals","119907","Unknown",,,
"Mammals","3211080033","Unknown",,,
"Mammals","2705020307","Unknown",,,
"Mammals","3106200001","Unknown",,,
"Mammals","3211080031","Unknown",,,
"Mammals","15551","Unknown",,,
"Mammals","111447","Unknown",,,
"Mammals","87910","Unknown",,,
"Mammals","0101300039","Unknown",,,
"Mammals","83103","Unknown",,,
"Mammals","14426","Unknown",,,
"Mammals","37265","Unknown",,,
"Mammals","111234","Unknown",,,
"Mammals","111248","Unknown",,,
"Mammals","3211080029","Unknown",,,
"Mammals","1011160009","Unknown",,,
"Mammals","83105","Unknown",,,
"Mammals","87307","Unknown",,,
"Mammals","111241","Unknown",,,
"Mammals","27631","Unknown",,,
"Mammals","3211080025","Unknown",,,
"Mammals","0011120007","Unknown",,,
"Mammals","83102","Unknown",,,
"Mammals","83104","Unknown",,,
"Mammals","2312080004","Unknown",,,
"Mammals","9110010016","Unknown",,,
"Mammals","91263","Unknown",,,
"Mammals","34137","Unknown",,,
"Mammals","3406030001","Unknown",,,
"Mammals","83107","Unknown",,,
"Mammals","8608240005","Unknown",,,
"Mammals","88923","Unknown",,,
"Mammals","3211080032","Unknown",,,
"Mammals","3211150003","Unknown",,,
"Mammals","2410140004","Unknown",,,
"Mammals","83101","Unknown",,,
"Mammals","102747","Unknown",,,
"Mammals","101755","Unknown",,,
"Mammals","3211080028","Unknown",,,
"Mammals","66883","Unknown",,,
"Mammals","102751","Unknown",,,
"Mammals","111235","Unknown",,,
"Mammals","96757","Unknown",,,
"Mammals","88093","Unknown",,,
"Mammals","102750","Unknown",,,
"Mammals","3211150001","Unknown",,,
"Mammals","102749","Unknown",,,
"Mammals","89628","Unknown",,,
"Mammals","94049","Unknown",,,
"Mammals","105846","Unknown",,,
"Mammals","106294","Unknown",,,
"Mammals","27632","Unknown",,,
"Mammals","94051","Unknown",,,
"Mammals","3211150004","Unknown",,,
"Mammals","27570","Unknown",,,
"Mammals","111240","Unknown",,,
"Mammals","87911","Unknown",,,
"Mammals","111242","Unknown",,,
"Mammals","111243","Unknown",,,
"Mammals","111244","Unknown",,,
"Mammals","102752","Unknown",,,
"Mammals","111247","Unknown",,,
"Mammals","94052","Unknown",,,
"Mammals","27579","Unknown",,,
"Mammals","27582","Unknown",,,
"Mammals","88092","Unknown",,,
"Mammals","106299","Unknown",,,
"Mammals","110424","Unknown",,,
"Mammals","102748","Unknown",,,
"Mammals","111246","Unknown",,,
"Mammals","22208","Unknown",,,
"Mammals","0102080008","Unknown",,,
"Mammals","1901070020","Unknown",,,
"Mammals","101732","Unknown",,,
"Mammals","1901070023","Unknown",,,
"Mammals","1805010014","Unknown",,,
"Mammals","1901070034","Unknown",,,
"Mammals","2612170047","Unknown",,,
"Mammals","27956","Unknown",,,
"Mammals","3405090037","Unknown",,,
"Mammals","3201120001","Unknown",,,
"Mammals","3108290003","Unknown",,,
"Mammals","3211300012","Unknown",,,
"Mammals","101578","Unknown",,,
"Mammals","3306200023","Unknown",,,
"Mammals","101707","Unknown",,,
"Mammals","77700","Unknown",,,
"Mammals","85747","Unknown",,,
"Mammals","79685","Unknown",,,
"Mammals","101603","Unknown",,,
"Mammals","0112130001","Unknown",,,
"Mammals","3009200082","Unknown",,,
"Mammals","0011210008","Unknown",,,
"Mammals","1201230499","Unknown",,,
"Mammals","101714","Unknown",,,
"Mammals","94950","Unknown",,,
"Mammals","0101300042","Unknown",,,
"Mammals","1403250002","Unknown",,,
"Mammals","3104210002","Unknown",,,
"Mammals","101814","Unknown",,,
"Mammals","2807070003","Unknown",,,
"Mammals","0903040005","Unknown",,,
"Mammals","67563","Unknown",,,
"Mammals","0101300053","Unknown",,,
"Mammals","11413","Unknown",,,
"Mammals","0101300029","Unknown",,,
"Mammals","2705020212","Unknown",,,
"Mammals","9401080002","Unknown",,,
"Mammals","101781","Unknown",,,
"Mammals","2712100030","Unknown",,,
"Mammals","2705020207","Unknown",,,
"Mammals","101805","Unknown",,,
"Mammals","0011160003","Unknown",,,
"Mammals","20355","Unknown",,,
"Mammals","3306200008","Unknown",,,
"Mammals","2209250019","Unknown",,,
"Mammals","9401080003","Unknown",,,
"Mammals","2705020303","Unknown",,,
"Mammals","0011160007","Unknown",,,
"Mammals","1013000230","Unknown",,,
"Mammals","7001010051","Unknown",,,
"Mammals","3501200001","Unknown",,,
"Mammals","2709110078","Unknown",,,
"Mammals","3306200030","Unknown",,,
"Mammals","3306200024","Unknown",,,
"Mammals","101807","Unknown",,,
"Mammals","44630","Unknown",,,
"Mammals","3103070001","Unknown",,,
"Mammals","9608060001","Unknown",,,
"Mammals","0102080005","Unknown",,,
"Mammals","77701","Unknown",,,
"Mammals","1201230489","Unknown",,,
"Mammals","1704190029","Unknown",,,
"Mammals","1811170001","Unknown",,,
"Mammals","3206100005","Unknown",,,
"Mammals","1910080073","Unknown",,,
"Mammals","1802260001","Unknown",,,
"Mammals","87907","Unknown",,,
"Mammals","87908","Unknown",,,
"Mammals","3201150003","Unknown",,,
"Mammals","1910080093","Unknown",,,
"Mammals","1201230497","Unknown",,,
"Mammals","102488","Unknown",,,
"Mammals","18421","Unknown",,,
"Mammals","0101300028","Unknown",,,
"Mammals","15459","Unknown",,,
"Mammals","15541","Unknown",,,
"Mammals","0107080024","Unknown",,,
"Mammals","14915","Unknown",,,
"Mammals","14913","Unknown",,,
"Mammals","3211300011","Unknown",,,
"Mammals","14075","Unknown",,,
"Mammals","1514120001","Unknown",,,
"Mammals","2705020228","Unknown",,,
"Mammals","3612020008","Unknown",,,
"Mammals","8608040004","Unknown",,,
"Mammals","3211170022","Unknown",,,
"Mammals","94627","Unknown",,,
"Mammals","0102080004","Unknown",,,
"Mammals","101712","Unknown",,,
"Mammals","0102080003","Unknown",,,
"Mammals","111496","Unknown",,,
"Mammals","72395","Unknown",,,
"Mammals","9812030090","Unknown",,,
"Mammals","9110010017","Unknown",,,
"Mammals","86826","Unknown",,,
"Mammals","101701","Unknown",,,
"Mammals","2212280002","Unknown",,,
"Mammals","9111010064","Unknown",,,
"Mammals","17144","Unknown",,,
"Mammals","3006210459","Unknown",,,
"Mammals","9110010036","Unknown",,,
"Mammals","3203110027","Unknown",,,
"Mammals","77698","Unknown",,,
"Mammals","9102010016","Unknown",,,
"Mammals","7801010007","Unknown",,,
"Mammals","0011080005","Unknown",,,
"Mammals","9111010105","Unknown",,,
"Mammals","2705020227","Unknown",,,
"Mammals","1910080041","Unknown",,,
"Mammals","1910080043","Unknown",,,
"Mammals","1910080008","Unknown",,,
"Mammals","1910080044","Unknown",,,
"Mammals","1910080007","Unknown",,,
"Mammals","1910080009","Unknown",,,
"Mammals","3306200017","Unknown",,,
"Mammals","3310230001","Unknown",,,
"Mammals","2702110001","Unknown",,,
"Mammals","1910080045","Unknown",,,
"Mammals","1910080046","Unknown",,,
"Mammals","1910080047","Unknown",,,
"Mammals","1910080048","Unknown",,,
"Mammals","1910080049","Unknown",,,
"Mammals","2510050001","Unknown",,,
"Mammals","1910080012","Unknown",,,
"Mammals","1910080037","Unknown",,,
"Mammals","1910080038","Unknown",,,
"Mammals","1910080040","Unknown",,,
"Mammals","1910080025","Unknown",,,
"Mammals","2705020022","Unknown",,,
"Mammals","14404","Unknown",,,
"Mammals","3306200011","Unknown",,,
"Mammals","21009","Unknown",,,
"Mammals","25927","Unknown",,,
"Mammals","1910080005","Unknown",,,
"Mammals","2805220002","Unknown",,,
"Mammals","1910080006","Unknown",,,
"Mammals","1910080011","Unknown",,,
"Mammals","1910080018","Unknown",,,
"Mammals","1910080019","Unknown",,,
"Mammals","1011160002","Unknown",,,
"Mammals","1910080001","Unknown",,,
"Mammals","1910080002","Unknown",,,
"Mammals","1910080003","Unknown",,,
"Mammals","1910080004","Unknown",,,
"Mammals","1910080050","Unknown",,,
"Mammals","3302030003","Unknown",,,
"Mammals","1910080032","Unknown",,,
"Mammals","7001010037","Unknown",,,
"Mammals","2612170031","Unknown",,,
"Mammals","2612170032","Unknown",,,
"Mammals","1910080024","Unknown",,,
"Mammals","1910080026","Unknown",,,
"Mammals","1910080010","Unknown",,,
"Mammals","1910080028","Unknown",,,
"Mammals","1910080029","Unknown",,,
"Mammals","1805010006","Unknown",,,
"Mammals","1910080031","Unknown",,,
"Mammals","1805010005","Unknown",,,
"Mammals","1910080033","Unknown",,,
"Mammals","1910080034","Unknown",,,
"Mammals","1901070030","Unknown",,,
"Mammals","1704190019","Unknown",,,
"Mammals","2612170024","Unknown",,,
"Mammals","1910080079","Unknown",,,
"Mammals","1910080080","Unknown",,,
"Mammals","1910080081","Unknown",,,
"Mammals","2612170028","Unknown",,,
"Mammals","1910080030","Unknown",,,
"Mammals","1901070033","Unknown",,,
"Mammals","2705020226","Unknown",,,
"Mammals","1704190030","Unknown",,,
"Mammals","25241","Unknown",,,
"Mammals","20951","Unknown",,,
"Mammals","1910080036","Unknown",,,
"Mammals","1910080042","Unknown",,,
"Mammals","1910080022","Unknown",,,
"Mammals","1704190028","Unknown",,,
