"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Mammals","1901070029","Unknown",,,
"Mammals","1901070032","Unknown",,,
"Mammals","1910080051","Unknown",,,
"Mammals","2612170023","Unknown",,,
"Mammals","7001010042","Unknown",,,
"Mammals","3303080001","Unknown",,,
"Mammals","19438","Unknown",,,
"Mammals","19439","Unknown",,,
"Mammals","94343","Unknown",,,
"Mammals","1703110001","Unknown",,,
"Mammals","2308140001","Unknown",,,
"Mammals","1704190017","Unknown",,,
"Mammals","3402150001","Unknown",,,
"Mammals","25285","Unknown",,,
"Mammals","9202100002","Unknown",,,
"Mammals","3104220005","Unknown",,,
"Mammals","35299","Unknown",,,
"Mammals","0101090006","Unknown",,,
"Mammals","1109260004","Unknown",,,
"Mammals","2705020202","Unknown",,,
"Mammals","2705020203","Unknown",,,
"Mammals","22216","Unknown",,,
"Mammals","9110010018","Unknown",,,
"Mammals","7801010003","Unknown",,,
"Mammals","2612170034","Unknown",,,
"Mammals","10255","Unknown",,,
"Mammals","14909","Unknown",,,
"Mammals","14911","Unknown",,,
"Mammals","3611110001","Unknown",,,
"Mammals","10140","Unknown",,,
"Mammals","14910","Unknown",,,
"Mammals","2209250020","Unknown",,,
"Mammals","1901070014","Unknown",,,
"Mammals","3306200025","Unknown",,,
"Mammals","77568","Unknown",,,
"Mammals","96759","Unknown",,,
"Mammals","96760","Unknown",,,
"Mammals","97099","Unknown",,,
"Mammals","92685","Unknown",,,
"Mammals","64299","Unknown",,,
"Mammals","90524","Unknown",,,
"Mammals","90525","Unknown",,,
"Mammals","77566","Unknown",,,
"Mammals","25522","Unknown",,,
"Mammals","77563","Unknown",,,
"Mammals","3509180001","Unknown",,,
"Mammals","77569","Unknown",,,
"Mammals","64304","Unknown",,,
"Mammals","64303","Unknown",,,
"Mammals","97106","Unknown",,,
"Mammals","97107","Unknown",,,
"Mammals","97108","Unknown",,,
"Mammals","97109","Unknown",,,
"Mammals","80263","Unknown",,,
"Mammals","9110010019","Unknown",,,
"Mammals","69268","Unknown",,,
"Mammals","1910080021","Unknown",,,
"Mammals","3306200026","Unknown",,,
"Mammals","9110010020","Unknown",,,
"Mammals","3509180002","Unknown",,,
"Mammals","1910080027","Unknown",,,
"Mammals","1910080013","Unknown",,,
"Mammals","1910080014","Unknown",,,
"Mammals","1910080015","Unknown",,,
"Mammals","1910080016","Unknown",,,
"Mammals","7001010041","Unknown",,,
"Mammals","1910080020","Unknown",,,
"Mammals","3306200021","Unknown",,,
"Mammals","1901070039","Unknown",,,
"Mammals","1910080023","Unknown",,,
"Mammals","0111290013","Unknown",,,
"Mammals","1901070001","Unknown",,,
"Mammals","0101300068","Unknown",,,
"Mammals","1901070009","Unknown",,,
"Mammals","1901070012","Unknown",,,
"Mammals","2612170036","Unknown",,,
"Mammals","1910080017","Unknown",,,
"Mammals","2612170037","Unknown",,,
"Mammals","25288","Unknown",,,
"Mammals","2612170038","Unknown",,,
"Mammals","2612170004","Unknown",,,
"Mammals","1704190037","Unknown",,,
"Mammals","1901070015","Unknown",,,
"Mammals","1901070016","Unknown",,,
"Mammals","1901070003","Unknown",,,
"Mammals","1901070007","Unknown",,,
"Mammals","9111010177","Unknown",,,
"Mammals","3306200027","Unknown",,,
"Mammals","3306200022","Unknown",,,
"Mammals","14408","Unknown",,,
"Mammals","3211300010","Unknown",,,
"Mammals","3306200012","Unknown",,,
"Mammals","3306200013","Unknown",,,
"Mammals","3306200014","Unknown",,,
"Mammals","3306200015","Unknown",,,
"Mammals","3306200016","Unknown",,,
"Mammals","3306200020","Unknown",,,
"Mammals","1910080035","Unknown",,,
"Mammals","1901070013","Unknown",,,
"Mammals","16762","Unknown",,,
"Mammals","2612170015","Unknown",,,
"Mammals","7002010003","Unknown",,,
"Mammals","3302030005","Unknown",,,
"Mammals","60283","Unknown",,,
"Mammals","60284","Unknown",,,
"Mammals","60285","Unknown",,,
"Mammals","94609","Unknown",,,
"Mammals","9102010015","Unknown",,,
"Mammals","1901070025","Unknown",,,
"Mammals","0101300021","Unknown",,,
"Mammals","1901070017","Unknown",,,
"Mammals","1702110004","Unknown",,,
"Mammals","94088","Unknown",,,
"Mammals","3306200007","Unknown",,,
"Mammals","8606010010","Unknown",,,
"Mammals","8806010002","Unknown",,,
"Mammals","3202090001","Unknown",,,
"Mammals","0101300049","Unknown",,,
"Mammals","0101300051","Unknown",,,
"Mammals","9102010017","Unknown",,,
"Mammals","2612170041","Unknown",,,
"Mammals","2612170052","Unknown",,,
"Mammals","1910080069","Unknown",,,
"Mammals","1910080070","Unknown",,,
"Mammals","2612170009","Unknown",,,
"Mammals","2612170010","Unknown",,,
"Mammals","0903010037","Unknown",,,
"Mammals","8406010001","Unknown",,,
"Mammals","9403260002","Unknown",,,
"Mammals","2612170008","Unknown",,,
"Mammals","2612170040","Unknown",,,
"Mammals","2612170007","Unknown",,,
"Mammals","2612170042","Unknown",,,
"Mammals","2403150001","Unknown",,,
"Mammals","1910080077","Unknown",,,
"Mammals","1910080078","Unknown",,,
"Mammals","2612170005","Unknown",,,
"Mammals","2612170006","Unknown",,,
"Mammals","2612170058","Unknown",,,
"Mammals","2612170059","Unknown",,,
"Mammals","61465","Unknown",,,
"Mammals","2403150002","Unknown",,,
"Mammals","75217","Unknown",,,
"Mammals","84156","Unknown",,,
"Mammals","25282","Unknown",,,
"Mammals","60392","Unknown",,,
"Mammals","65469","Unknown",,,
"Mammals","16896","Unknown",,,
"Mammals","3306201053","Unknown",,,
"Mammals","2410180001","Unknown",,,
"Mammals","14424","Unknown",,,
"Mammals","7001010044","Unknown",,,
"Mammals","8608240009","Unknown",,,
"Mammals","60393","Unknown",,,
"Mammals","70737","Unknown",,,
"Mammals","16910","Unknown",,,
"Mammals","16499","Unknown",,,
"Mammals","0011080014","Unknown",,,
"Mammals","9102010001","Unknown",,,
"Mammals","0104200001","Unknown",,,
"Mammals","21397","Unknown",,,
"Mammals","0102010009","Unknown",,,
"Mammals","0011290007","Unknown",,,
"Mammals","27623","Unknown",,,
"Mammals","14748","Unknown",,,
"Mammals","2612170012","Unknown",,,
"Mammals","61463","Unknown",,,
"Mammals","61462","Unknown",,,
"Mammals","16912","Unknown",,,
"Mammals","3211080038","Unknown",,,
"Mammals","11202","Unknown",,,
"Mammals","9508300001","Unknown",,,
"Mammals","7002010001","Unknown",,,
"Mammals","25283","Unknown",,,
"Mammals","20356","Unknown",,,
"Mammals","8606010004","Unknown",,,
"Mammals","91483","Unknown",,,
"Mammals","14343","Unknown",,,
"Mammals","16908","Unknown",,,
"Mammals","31295","Unknown",,,
"Mammals","16909","Unknown",,,
"Mammals","16911","Unknown",,,
"Mammals","16913","Unknown",,,
"Mammals","9102010022","Unknown",,,
"Mammals","7906010003","Unknown",,,
"Mammals","25315","Unknown",,,
"Mammals","1901070005","Unknown",,,
"Mammals","3503040001","Unknown",,,
"Mammals","1805010007","Unknown",,,
"Mammals","1805010008","Unknown",,,
"Mammals","1805010009","Unknown",,,
"Mammals","1901070040","Unknown",,,
"Mammals","2612170055","Unknown",,,
"Mammals","2612170056","Unknown",,,
"Mammals","19459","Unknown",,,
"Mammals","1901070026","Unknown",,,
"Mammals","3306200010","Unknown",,,
"Mammals","1805010004","Unknown",,,
"Mammals","2612170018","Unknown",,,
"Mammals","2612170013","Unknown",,,
"Mammals","2612170014","Unknown",,,
"Mammals","2612170016","Unknown",,,
"Mammals","2612170017","Unknown",,,
"Mammals","2612170019","Unknown",,,
"Mammals","0101300070","Unknown",,,
"Mammals","0101300071","Unknown",,,
"Mammals","8406010005","Unknown",,,
"Mammals","3212010006","Unknown",,,
"Mammals","2612170051","Unknown",,,
"Mammals","16548","Unknown",,,
"Mammals","0903040009","Unknown",,,
"Mammals","77633","Unknown",,,
"Mammals","1901070036","Unknown",,,
"Mammals","14406","Unknown",,,
"Mammals","2612170053","Unknown",,,
"Mammals","2612170054","Unknown",,,
"Mammals","2209270001","Unknown",,,
"Mammals","1805010001","Unknown",,,
"Mammals","2612170050","Unknown",,,
"Mammals","1805010003","Unknown",,,
"Mammals","1901070010","Unknown",,,
"Mammals","1901070022","Unknown",,,
"Mammals","2612170048","Unknown",,,
"Mammals","2612170060","Unknown",,,
"Mammals","2612170061","Unknown",,,
"Mammals","1901070004","Unknown",,,
"Mammals","2612170033","Unknown",,,
"Mammals","14914","Unknown",,,
"Mammals","2612170025","Unknown",,,
"Mammals","1901070027","Unknown",,,
"Mammals","2702110002","Unknown",,,
"Mammals","1901070006","Unknown",,,
"Mammals","1901070018","Unknown",,,
"Mammals","0101300072","Unknown",,,
"Mammals","2612170045","Unknown",,,
"Mammals","7906010006","Unknown",,,
"Mammals","1805010010","Unknown",,,
"Mammals","1805010011","Unknown",,,
"Mammals","2612170039","Unknown",,,
"Mammals","1805010013","Unknown",,,
"Mammals","2612170020","Unknown",,,
"Mammals","2612170030","Unknown",,,
"Mammals","2612170044","Unknown",,,
"Mammals","8001010002","Unknown",,,
"Mammals","2612170029","Unknown",,,
"Mammals","1901070028","Unknown",,,
"Mammals","95180","Unknown",,,
"Mammals","2612170021","Unknown",,,
"Mammals","2612170022","Unknown",,,
"Mammals","2612170011","Unknown",,,
"Mammals","1805010012","Unknown",,,
"Mammals","2612170027","Unknown",,,
"Mammals","1805010002","Unknown",,,
"Mammals","20994","Unknown",,,
"Mammals","2705020224","Unknown",,,
"Mammals","3609280003","Unknown",,,
"Mammals","27400","Unknown",,,
"Mammals","7506010001","Unknown",,,
"Mammals","3306200004","Unknown",,,
"Mammals","3608040001","Unknown",,,
"Mammals","31292","Unknown",,,
"Mammals","90839","Unknown",,,
"Mammals","2705020204","Unknown",,,
"Mammals","2612170026","Unknown",,,
"Mammals","3402010001","Unknown",,,
"Mammals","2510210101","Unknown",,,
"Mammals","1901070011","Unknown",,,
"Mammals","2612170035","Unknown",,,
"Mammals","9411060006","Unknown",,,
"Mammals","9106160002","Unknown",,,
"Mammals","1910080072","Unknown",,,
"Mammals","1901070038","Unknown",,,
"Mammals","18353","Unknown",,,
"Mammals","2309200078","Unknown",,,
"Mammals","78119","Unknown",,,
"Mammals","94514","Unknown",,,
"Mammals","3610070010","Unknown",,,
"Mammals","64432","Unknown",,,
"Mammals","3503040011","Unknown",,,
"Mammals","3302030001","Unknown",,,
"Mammals","3201200003","Unknown",,,
"Mammals","102504","Unknown",,,
"Mammals","102503","Unknown",,,
"Mammals","117864","Unknown",,,
"Mammals","98612","Unknown",,,
"Mammals","102505","Unknown",,,
"Mammals","111233","Unknown",,,
"Mammals","108278","Unknown",,,
"Mammals","7106010002","Unknown",,,
"Mammals","111222","Unknown",,,
"Mammals","102491","Unknown",,,
"Mammals","2311100002","Unknown",,,
"Mammals","0012090001","Unknown",,,
"Mammals","1501100001","Unknown",,,
"Mammals","111227","Unknown",,,
"Mammals","111218","Unknown",,,
"Mammals","2505070001","Unknown",,,
"Mammals","9812030009","Unknown",,,
"Mammals","9112300002","Unknown",,,
"Mammals","111221","Unknown",,,
"Mammals","0002010005","Unknown",,,
"Mammals","111219","Unknown",,,
"Mammals","1504120001","Unknown",,,
"Mammals","3612020006","Unknown",,,
"Mammals","102492","Unknown",,,
"Mammals","15189","Unknown",,,
"Mammals","2712100029","Unknown",,,
"Mammals","2810150003","Unknown",,,
"Mammals","25271","Unknown",,,
"Mammals","94608","Unknown",,,
"Mammals","16063","Unknown",,,
"Mammals","3301250004","Unknown",,,
"Mammals","94902","Unknown",,,
"Mammals","91482","Unknown",,,
"Mammals","2712100015","Unknown",,,
"Mammals","50434","Unknown",,,
"Mammals","2705020209","Unknown",,,
"Mammals","9102010019","Unknown",,,
"Mammals","100590","Unknown",,,
"Mammals","74060","Unknown",,,
"Mammals","9508130018","Unknown",,,
"Mammals","59339","Unknown",,,
"Mammals","3208220001","Unknown",,,
"Mammals","0011080013","Unknown",,,
"Mammals","16045","Unknown",,,
"Mammals","2705020210","Unknown",,,
"Mammals","108279","Unknown",,,
"Mammals","115426","Unknown",,,
"Mammals","16761","Unknown",,,
"Mammals","89945","Unknown",,,
"Mammals","96761","Unknown",,,
"Mammals","96762","Unknown",,,
"Mammals","96763","Unknown",,,
"Mammals","96764","Unknown",,,
"Mammals","74059","Unknown",,,
"Mammals","79134","Unknown",,,
"Mammals","77457","Unknown",,,
"Mammals","79143","Unknown",,,
"Mammals","80306","Unknown",,,
"Mammals","79144","Unknown",,,
"Mammals","80298","Unknown",,,
"Mammals","80300","Unknown",,,
"Mammals","84144","Unknown",,,
"Mammals","80312","Unknown",,,
"Mammals","79148","Unknown",,,
"Mammals","80296","Unknown",,,
"Mammals","62744","Unknown",,,
"Mammals","79145","Unknown",,,
"Mammals","80302","Unknown",,,
"Mammals","79138","Unknown",,,
"Mammals","80299","Unknown",,,
"Mammals","2712100022","Unknown",,,
"Mammals","79137","Unknown",,,
"Mammals","94603","Unknown",,,
"Mammals","112525","Unknown",,,
"Mammals","112524","Unknown",,,
"Mammals","0101300058","Unknown",,,
"Mammals","105020","Unknown",,,
"Mammals","112779","Unknown",,,
"Mammals","31286","Unknown",,,
"Mammals","115462","Unknown",,,
"Mammals","67564","Unknown",,,
"Mammals","112300","Unknown",,,
"Mammals","80295","Unknown",,,
"Mammals","94948","Unknown",,,
"Mammals","94415","Unknown",,,
"Mammals","0011210007","Unknown",,,
"Mammals","94417","Unknown",,,
"Mammals","80305","Unknown",,,
"Mammals","79139","Unknown",,,
"Mammals","85246","Unknown",,,
"Mammals","112296","Unknown",,,
"Mammals","2909050001","Unknown",,,
"Mammals","3408100001","Unknown",,,
"Mammals","3405080031","Unknown",,,
"Mammals","3405080010","Unknown",,,
"Mammals","3312260002","Unknown",,,
"Mammals","87181","Unknown",,,
"Mammals","3302030004","Unknown",,,
"Mammals","84136","Unknown",,,
"Mammals","111217","Unknown",,,
"Mammals","111214","Unknown",,,
"Mammals","2712100026","Unknown",,,
"Mammals","2712100025","Unknown",,,
"Mammals","2712100024","Unknown",,,
"Mammals","9110010023","Unknown",,,
"Mammals","111231","Unknown",,,
"Mammals","3211170023","Unknown",,,
"Mammals","111225","Unknown",,,
"Mammals","3211080026","Unknown",,,
"Mammals","111228","Unknown",,,
"Mammals","84900","Unknown",,,
"Mammals","84894","Unknown",,,
"Mammals","117121","Unknown",,,
"Mammals","84775","Unknown",,,
"Mammals","118916","Unknown",,,
"Mammals","2510050002","Unknown",,,
"Mammals","111232","Unknown",,,
"Mammals","3510230001","Unknown",,,
"Mammals","111229","Unknown",,,
"Mammals","111213","Unknown",,,
"Mammals","111215","Unknown",,,
"Mammals","111226","Unknown",,,
"Mammals","111216","Unknown",,,
"Mammals","111224","Unknown",,,
"Mammals","111223","Unknown",,,
"Mammals","3002140002","Unknown",,,
"Mammals","111212","Unknown",,,
"Mammals","111230","Unknown",,,
"Mammals","14422","Unknown",,,
"Mammals","9102010008","Unknown",,,
"Mammals","16899","Unknown",,,
"Mammals","7906010005","Unknown",,,
"Mammals","7606010005","Unknown",,,
"Mammals","1406170003","Unknown",,,
"Mammals","31231","Unknown",,,
"Mammals","2403130389","Unknown",,,
"Mammals","14912","Unknown",,,
"Mammals","16904","Unknown",,,
"Mammals","16905","Unknown",,,
"Mammals","1702260001","Unknown",,,
"Mammals","3511160002","Unknown",,,
"Mammals","7906010002","Unknown",,,
"Mammals","16111","Unknown",,,
"Mammals","17186","Unknown",,,
"Mammals","1910080039","Unknown",,,
"Mammals","9102010013","Unknown",,,
"Mammals","3303150004","Unknown",,,
"Mammals","25292","Unknown",,,
"Mammals","16900","Unknown",,,
"Mammals","3211080027","Unknown",,,
"Mammals","16906","Unknown",,,
"Mammals","0101300015","Unknown",,,
"Mammals","9111010040","Unknown",,,
"Mammals","0101300014","Unknown",,,
"Mammals","96645","Unknown",,,
"Mammals","1704190024","Unknown",,,
"Mammals","16907","Unknown",,,
"Mammals","1704190027","Unknown",,,
"Mammals","1901070035","Unknown",,,
"Mammals","3412080002","Unknown",,,
"Mammals","3211030009","Unknown",,,
"Mammals","14750","Unknown",,,
"Mammals","1901070037","Unknown",,,
"Mammals","3210210002","Unknown",,,
"Mammals","9111010181","Unknown",,,
"Mammals","1109260005","Unknown",,,
"Mammals","3208290049","Unknown",,,
"Mammals","0101300005","Unknown",,,
"Mammals","1901070041","Unknown",,,
"Mammals","2801040001","Unknown",,,
"Mammals","2612170003","Unknown",,,
"Mammals","3310050001","Unknown",,,
"Mammals","3306200963","Unknown",,,
"Mammals","3208290048","Unknown",,,
"Mammals","0102010005","Unknown",,,
"Mammals","58660","Unknown",,,
"Mammals","2702100001","Unknown",,,
"Mammals","2612170046","Unknown",,,
"Mammals","17175","Unknown",,,
"Mammals","9102010012","Unknown",,,
"Mammals","1910080062","Unknown",,,
"Mammals","1901070008","Unknown",,,
"Mammals","31293","Unknown",,,
"Mammals","0102010010","Unknown",,,
"Mammals","1910080063","Unknown",,,
"Mammals","7606010002","Unknown",,,
"Mammals","31256","Unknown",,,
"Mammals","22039","Unknown",,,
"Mammals","14749","Unknown",,,
"Mammals","3208290050","Unknown",,,
"Mammals","3405090018","Unknown",,,
"Mammals","3405090019","Unknown",,,
"Mammals","33136","Unknown",,,
"Mammals","1901070024","Unknown",,,
"Mammals","7001010034","Unknown",,,
"Mammals","14254","Unknown",,,
"Mammals","31289","Unknown",,,
"Mammals","31291","Unknown",,,
"Mammals","7906010009","Unknown",,,
"Mammals","20655","Unknown",,,
"Mammals","2805220001","Unknown",,,
"Mammals","31287","Unknown",,,
"Mammals","1704190034","Unknown",,,
"Mammals","7306010001","Unknown",,,
"Mammals","0011080011","Unknown",,,
"Mammals","9111010072","Unknown",,,
"Mammals","1704190031","Unknown",,,
"Mammals","2612170057","Unknown",,,
"Mammals","2801130001","Unknown",,,
"Mammals","31290","Unknown",,,
"Mammals","17590","Unknown",,,
"Mammals","9401080004","Unknown",,,
"Mammals","108029","Unknown",,,
"Mammals","16146","Unknown",,,
"Mammals","16763","Unknown",,,
"Mammals","16144","Unknown",,,
"Mammals","16224","Unknown",,,
"Mammals","3212010011","Unknown",,,
"Mammals","25278","Unknown",,,
"Mammals","3212010010","Unknown",,,
"Mammals","9102010011","Unknown",,,
"Mammals","31284","Unknown",,,
"Mammals","9812300002","Unknown",,,
"Mammals","2806260003","Unknown",,,
"Mammals","3402090001","Unknown",,,
"Mammals","1704190032","Unknown",,,
"Mammals","27955","Unknown",,,
"Mammals","3309090001","Unknown",,,
"Mammals","0102010004","Unknown",,,
"Mammals","2211250001","Unknown",,,
"Mammals","18800","Unknown",,,
"Mammals","31285","Unknown",,,
"Mammals","31288","Unknown",,,
"Mammals","0011290004","Unknown",,,
"Mammals","0102080001","Unknown",,,
"Mammals","9111010070","Unknown",,,
"Mammals","2510210100","Unknown",,,
"Mammals","3309100003","Unknown",,,
"Mammals","2712100016","Unknown",,,
"Mammals","1709180001","Unknown",,,
"Mammals","16047","Unknown",,,
"Mammals","9110010035","Unknown",,,
"Mammals","108028","Unknown",,,
"Mammals","2705020200","Unknown",,,
"Mammals","10146","Unknown",,,
"Mammals","2705020205","Unknown",,,
"Mammals","7001010019","Unknown",,,
"Mammals","0102010003","Unknown",,,
"Mammals","1709180002","Unknown",,,
"Mammals","2705020208","Unknown",,,
"Mammals","3303220001","Unknown",,,
"Mammals","60458","Unknown",,,
"Mammals","9102240011","Unknown",,,
"Mammals","2705020213","Unknown",,,
"Mammals","3508160006","Unknown",,,
"Mammals","27959","Unknown",,,
